"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 07 18:36:20 GMT 2023","Thu Sep 07 18:36:20 GMT 2023","457","test","login_user_test","TestLoginUser","","","test_invalid_password",""
"passed","Thu Sep 07 18:36:15 GMT 2023","Thu Sep 07 18:36:15 GMT 2023","565","test","create_notes_test","TestCreateNotes","","","test_create_note_invalid_desc",""
"passed","Thu Sep 07 18:36:19 GMT 2023","Thu Sep 07 18:36:19 GMT 2023","555","test","get_notes_test","TestGetNotes","","","test_get_note_by_id",""
"passed","Thu Sep 07 18:36:15 GMT 2023","Thu Sep 07 18:36:16 GMT 2023","401","test","create_notes_test","TestCreateNotes","","","test_create_note_invalid_category",""
"passed","Thu Sep 07 18:36:18 GMT 2023","Thu Sep 07 18:36:18 GMT 2023","222","test","get_notes_test","TestGetNotes","","","test_get_all_user_notes",""
"passed","Thu Sep 07 18:36:14 GMT 2023","Thu Sep 07 18:36:15 GMT 2023","574","test","create_notes_test","TestCreateNotes","","","test_create_note_invalid_title",""
"passed","Thu Sep 07 18:36:23 GMT 2023","Thu Sep 07 18:36:23 GMT 2023","508","test","register_user_test","TestRegisterUser","","","test_register_invalid_password",""
"passed","Thu Sep 07 18:36:16 GMT 2023","Thu Sep 07 18:36:16 GMT 2023","190","test","create_notes_test","TestCreateNotes","","","test_create_note_invalid_token",""
"passed","Thu Sep 07 18:36:21 GMT 2023","Thu Sep 07 18:36:21 GMT 2023","367","test","register_user_test","TestRegisterUser","","","test_register_duplicate_email",""
"passed","Thu Sep 07 18:36:24 GMT 2023","Thu Sep 07 18:36:24 GMT 2023","227","test","user_profile_test","TestUserProfile","","","test_get_user_profile",""
"passed","Thu Sep 07 18:36:21 GMT 2023","Thu Sep 07 18:36:21 GMT 2023","379","test","register_user_test","TestRegisterUser","","","test_register_new_user",""
"passed","Thu Sep 07 18:36:16 GMT 2023","Thu Sep 07 18:36:16 GMT 2023","150","test","create_notes_test","TestCreateNotes","","","test_create_note_empty_token",""
"passed","Thu Sep 07 18:36:18 GMT 2023","Thu Sep 07 18:36:19 GMT 2023","150","test","get_notes_test","TestGetNotes","","","test_get_all_user_notes_empty_token",""
"passed","Thu Sep 07 18:36:18 GMT 2023","Thu Sep 07 18:36:18 GMT 2023","450","test","delete_note_test","TestDeleteNote","","","test_delete_invalid_token",""
"passed","Thu Sep 07 18:36:19 GMT 2023","Thu Sep 07 18:36:20 GMT 2023","633","test","login_user_test","TestLoginUser","","","test_invalid_email",""
"passed","Thu Sep 07 18:36:24 GMT 2023","Thu Sep 07 18:36:24 GMT 2023","189","test","user_profile_test","TestUserProfile","","","test_invalid_auth_token",""
"passed","Thu Sep 07 18:36:24 GMT 2023","Thu Sep 07 18:36:24 GMT 2023","153","test","user_profile_test","TestUserProfile","","","test_empty_auth_token",""
"passed","Thu Sep 07 18:36:21 GMT 2023","Thu Sep 07 18:36:22 GMT 2023","628","test","register_user_test","TestRegisterUser","","","test_register_invalid_email",""
"passed","Thu Sep 07 18:36:23 GMT 2023","Thu Sep 07 18:36:24 GMT 2023","261","test","update_user_profile_test","TestUpdateUserProfile","","","test_update_user_name",""
"passed","Thu Sep 07 18:36:22 GMT 2023","Thu Sep 07 18:36:23 GMT 2023","503","test","register_user_test","TestRegisterUser","","","test_register_invalid_name",""
"passed","Thu Sep 07 18:36:17 GMT 2023","Thu Sep 07 18:36:18 GMT 2023","427","test","delete_note_test","TestDeleteNote","","","test_delete_empty_token",""
"passed","Thu Sep 07 18:36:19 GMT 2023","Thu Sep 07 18:36:19 GMT 2023","1","test","login_user_test","TestLoginUser","","","test_user_login",""
"passed","Thu Sep 07 18:36:20 GMT 2023","Thu Sep 07 18:36:21 GMT 2023","191","test","login_user_test","TestLoginUser","","","test_incorrect_password",""
"passed","Thu Sep 07 18:36:19 GMT 2023","Thu Sep 07 18:36:19 GMT 2023","196","test","get_notes_test","TestGetNotes","","","test_get_all_user_notes_invalid_token",""
"passed","Thu Sep 07 18:36:16 GMT 2023","Thu Sep 07 18:36:17 GMT 2023","527","test","delete_note_test","TestDeleteNote","","","test_delete_note_resp",""
"passed","Thu Sep 07 18:36:17 GMT 2023","Thu Sep 07 18:36:17 GMT 2023","775","test","delete_note_test","TestDeleteNote","","","test_delete_note_exists",""
"passed","Thu Sep 07 18:36:13 GMT 2023","Thu Sep 07 18:36:14 GMT 2023","819","test","create_notes_test","TestCreateNotes","","","test_create_new_note",""
